__v,_id,admin,biography,birth_date,createdAt,created_playlist_publication,email,followed_artist_publication,follower,gender,liked_album_publication,liked_featured_playlist_publication,liked_song_publication,password,profile_name,profile_picture,profile_publication,updatedAt,username,verified
0,62c12b87f3c8d2611a42a137,false,Hdj,2022-06-30T00:00:00.000Z,2022-07-03T05:39:19.584Z,false,shikharaa26@gmail.com,false,0,Male,false,false,false,$2a$10$KtCbvuJEHFRs.uW/lKwg4.Ig9du/LGSaUsGaEOGdS99dAPsvY2aJe,Shikhar,1656826733535_IMG_-b0cpnv.jpg,false,2022-07-03T05:39:19.584Z,Shikhar,false
0,62c39bbcab9a934795faa518,false,I am a student.,1999-07-22T00:00:00.000Z,2022-07-05T02:02:36.638Z,false,bpun457@gmail.com,false,0,Male,false,false,false,$2a$10$U621zCYeblO0tunmAGauKuhVmRuwzsyxHYzBJqfggezTy429VNwrK,Rupendra Pun,1656986556083_IMG_20220604_154406.jpg,false,2022-07-05T02:02:36.638Z,Rupendra,false
0,62c39d8dab9a934795fab257,false,,1975-09-09T00:00:00.000Z,2022-07-05T02:10:21.023Z,false,michael123@gmail.com,false,4,Male,false,false,false,$2a$10$GOQ7hAxvS2IcMqYNYs2VruMxm6WTOXLAJqp4/MfZZAdgEt1ZB0hEG,Michael Bublé,1656987020468_MichaelBubleSmileeb2011.jpg,false,2022-07-05T02:50:34.857Z,Michael,true
0,62c39f1dab9a934795fabd59,false,Best revolutional nepali hip hop songs,2000-12-12T00:00:00.000Z,2022-07-05T02:17:01.413Z,false,rananishanbhat@gmail.com,false,4,Male,false,false,false,$2a$10$lvgA9GPz3FCutT6k98EVI.QQcPpP4fp7Xj6Z..ZJDJs8zJAJgHHzS,NepRevolution,1656989693648_Revolution-T-shirt-design-15072.jpg,false,2022-07-05T02:57:55.303Z,Revolution,true
0,62c39f70ab9a934795fabdf4,false,,2001-10-19T00:00:00.000Z,2022-07-05T02:18:24.133Z,false,gauravchaulagain45@gmail.com,false,0,Male,false,false,false,$2a$10$sMgK4kpt5F5pDJze1zBi4ObzNmDWGQqHPXyhyJcjfRF7A23GYHpAu,Gaurav,1656987503839_IMG_0828.JPG,false,2022-07-05T02:18:24.133Z,Gaurav,false
0,62c3a103ab9a934795fac060,false,Kalo chu ta ma baal ho talaie,2021-06-21T00:00:00.000Z,2022-07-05T02:25:07.276Z,true,Uniq@gmail.com,true,5,Male,true,true,true,$2a$10$PqGyrWLTgN3YXulKhxUy1Ocy9Ie49vNmBfBea.AFGCgmq5.T15Jn6,UNIQ,1656987907069_be007557d21420fb3cf99facfa876317.900x900x1.jpg,true,2022-07-05T02:50:25.873Z,Uniqpoet,true
0,62c3a223ab9a934795fac5ae,false,,2000-07-05T00:00:00.000Z,2022-07-05T02:29:55.707Z,false,rijalanupraj@gmail.com,false,0,Male,false,false,false,$2a$10$mg/jl3g8quJW6lLRx9F00uW8CmNyy9/uxget2V7KXf60CRRCh.6Bu,Anup Raj Rijal,1656988194893_IMG_20220531_211144.jpg,false,2022-07-05T02:29:55.707Z,Anup,false
0,62c3a827ab9a934795faea4a,false,Laure is good,2022-06-05T00:00:00.000Z,2022-07-05T02:55:35.374Z,false,Laure@gmail.com,false,0,Male,false,false,false,$2a$10$y25nzCv6JO300aDh0QvFneetG9O.ihqR.OwKZTXxUM8AzrVvU5XCO,Laure,1656989735271_269877721_456823812669745_1246267928647105189_n(1)_20220102151117.jpg,false,2022-07-05T02:55:35.374Z,Laure,false
0,62c3a9bdab9a934795faedef,false,Ok,2001-02-18T00:00:00.000Z,2022-07-05T03:02:21.990Z,false,anishkhadka1111@gmail.con,false,0,Male,false,false,false,$2a$10$s7EIukpyujDAcD5N.MNvqu/crRMzJIjwXkJMKNV.t2pjxEqekdudi,Anish,1656990141892_IMG_20220625_161337.jpg,false,2022-07-05T03:02:21.990Z,anishhimself,false
0,62c4341e99ebab4f61c2d421,false,,2001-07-05T00:00:00.000Z,2022-07-05T12:52:46.391Z,false,billie@gmail.com,false,7,Female,true,false,false,$2a$10$KYTGOs9NrfXR/wxmPxCNted8zNYKHzBQjeal.k1mPQuwVE4mS5BrK,Billie Eilish,1657025565580_48590443456_4d1eeb20bf_b-1.jpg,false,2022-07-05T14:29:18.232Z,billie,true
0,62c43a9a99ebab4f61c2da0f,false,,1995-07-05T00:00:00.000Z,2022-07-05T13:20:26.390Z,false,melanie@gmail.com,false,6,Female,false,true,true,$2a$10$bzbDHqyPZys8UjwWu0TqJe43Zs2LgySqMUuRRULSp9UOgQ7Nx8Hoq,Melanie Martinez,1657027225362_melanie-martinez-1568967717.-1x1780.jpg,false,2022-07-05T14:30:49.645Z,melanie,true
0,62c43f4099ebab4f61c2e0f5,false,,2004-10-12T00:00:00.000Z,2022-07-05T13:40:16.183Z,false,vf7@gmail.com,false,6,Female,false,false,false,$2a$10$zXi5vNMVqaZL6XpNkgGVxO0C08B.FIcatrXWRFGXC2mTmydPQKuQi,Vf7,1657028411308_Snip20200115_56.png,false,2022-07-05T14:25:30.916Z,vf7,true
0,62c4422b99ebab4f61c2e7a9,false,,1948-03-05T00:00:00.000Z,2022-07-05T13:52:43.174Z,false,steven@gmail.com,false,6,Male,false,false,false,$2a$10$6QVEFhtSE5SZxyd3DqaKFOxnRANtJrptQlL8KF08u2B8qjtokORbC,Steven Tyler,1657029155616_steven.jpg,false,2022-07-05T14:30:19.598Z,steven,true
0,62c4442699ebab4f61c2f1ec,false,,1970-07-06T00:00:00.000Z,2022-07-05T14:01:10.246Z,false,acdc@gmail.com,false,6,Other,false,false,false,$2a$10$xobunhmS2rbyaZQ/HLvnXevYc7nroHMFHQHJSIGE/I3ukE3gJpcL2,ACDC,1657029668481_ACDC-1605114470_edited.jpg,false,2022-07-05T14:30:06.766Z,acdc,true
